keys,en,ru
LMB Action · RMB Use / Build,LMB Action · RMB Use / Build,ЛКМ Действие · ПКМ Использовать / Строить
Construction undone,Construction undone,Постройка отменена
Single Player,Single Player,Одиночная игра
Multi Player,Multi Player,Сетевая игра
Options,Options,Настройки
Achievements,Achievements,Достижения
Quit Game,Quit Game,Выход
Stone Age,Stone Age,Каменный век
Complete the Stone Age chapter,Complete the Stone Age chapter,Пройдите главу «Каменный век»
Industrialization,Industrialization,Индустриализация
Complete the Industrialization chapter,Complete the Industrialization chapter,Пройдите главу «Индустриализация»
Iron Age,Iron Age,Железный век
Complete the Iron Age chapter,Complete the Iron Age chapter,Пройдите главу «Железный век»
Electrification,Electrification,Электрификация
Complete the Electrification chapter,Complete the Electrification chapter,Пройдите главу «Электрификация»
Electric Age,Electric Age,Электрический век
Complete the Electric Age chapter,Complete the Electric Age chapter,Пройдите главу «Электрический век»
Industrial Age,Industrial Age,Промышленный век
Complete the Industrial Age chapter,Complete the Industrial Age chapter,Пройдите главу «Промышленный век»
First Step,First Step,Первый шаг
Complete your first quest,Complete your first quest,Выполните первое задание
Reliable Engineer,Reliable Engineer,Надёжный инженер
Complete 25 quests,Complete 25 quests,Выполните 25 заданий
Master of Progress,Master of Progress,Мастер прогрессии
Complete 100 quests,Complete 100 quests,Выполните 100 заданий
Forest Cleared,Forest Cleared,Лес освобождён
Defeat the Ent,Defeat the Ent,Победите Энта
Sandbreaker,Sandbreaker,Сокрушитель песков
Defeat the Dune Colossus,Defeat the Dune Colossus,Победите Песчаного колосса
Thaw the Warden,Thaw the Warden,Растопить стража
Defeat the Frost Warden,Defeat the Frost Warden,Победите Ледяного стража
Cut Every Head,Cut Every Head,Отрубить все головы
Defeat the Mire Hydra,Defeat the Mire Hydra,Победите Болотную гидру
No More Thorns,No More Thorns,Больше никаких шипов
Defeat the Thorn Matriarch,Defeat the Thorn Matriarch,Победите Шипастую матриархиню
Eclipse,Eclipse,Затмение
Defeat the Solar Tyrant,Defeat the Solar Tyrant,Победите Солнечного тирана
Abyss Conquered,Abyss Conquered,Бездна покорена
Defeat the Abyss Leviathan,Defeat the Abyss Leviathan,Победите Левиафана бездны
Cleanse the Bog,Cleanse the Bog,Очистить топь
