keys,en,ru
boss.ent.name,The Ent,Энт
item.CHEST_MODIFIER_T2.desc,A steel-cased upgrade module used to reinforce a Tier 1 chest.,Стальной модуль улучшения для укрепления сундука 1-го уровня.
item.CHEST_MODIFIER_T2.name,Chest Modifier Tier 2,Модификатор сундука ур. 2
item.CHEST_MODIFIER_T3.desc,A rare brass-steel module with an energized core for final-tier storage.,Редкий латунно-стальной модуль с энергетическим ядром для хранилища высшего уровня.
item.CHEST_MODIFIER_T3.name,Chest Modifier Tier 3,Модификатор сундука ур. 3
item.CHEST_T1.desc,A basic 30-slot wooden storage chest.,Базовый деревянный сундук на 30 ячеек.
item.CHEST_T1.name,Chest Tier 1,Сундук ур. 1
item.CHEST_T2.desc,A reinforced 60-slot industrial storage chest.,Укреплённый промышленный сундук на 60 ячеек.
item.CHEST_T2.name,Chest Tier 2,Сундук ур. 2
item.CHEST_T3.desc,An advanced 90-slot mechanical storage chest.,Продвинутый механический сундук на 90 ячеек.
item.CHEST_T3.name,Chest Tier 3,Сундук ур. 3
item.advanced_board.desc,Resin-coated circuit board. Used in Tier 2 circuits.,"Плата, покрытая смолой. Для схем 2-го уровня."
item.advanced_board.name,Advanced Board,Продвинутая плата
item.advanced_drill.desc,"The fastest drill; reaches every vein, including mythril. Place a conveyor or chest directly against the arrow side to receive ore automatically.","Самый быстрый бур; достаёт любую жилу, включая мифрил. Поставьте конвейер или сундук вплотную со стороны стрелки для автоматической выгрузки."
item.advanced_drill.name,Advanced Drill,Продвинутый бур
item.advanced_machine_casing.desc,Steel and silver housing. Used to construct Electric Furnace and Compressor.,Корпус из стали и серебра. Для электропечи и компрессора.
item.advanced_machine_casing.name,Advanced Machine Casing,Продвинутый корпус механизма
item.advanced_machine_frame.desc,Reinforced frame with spring suspension. Base of high-tech machines.,Усиленный каркас с пружинной подвеской. Основа высокотехнологичных машин.
item.advanced_machine_frame.name,Advanced Machine Frame,Продвинутая рамка механизма
item.advanced_processor.desc,High-performance multi-core processor. For computers and ME controllers.,Многоядерный процессор повышенной производительности. Для компьютеров и ME-контроллеров.
item.advanced_processor.name,Advanced Processor,Продвинутый процессор
item.advanced_solar_panel.desc,Generates 120 EU/s in daylight. Place next to power cables.,Вырабатывает 120 EU/с при свете дня. Ставится у проводов электросети.
item.advanced_solar_panel.name,Advanced Solar Panel,Продвинутая солнечная панель
item.apple.desc,"A crisp, juicy apple. Restores a little energy.",Хрустящее сочное яблоко. Немного восстанавливает силы.
item.apple.name,Apple,Яблоко
item.berry.desc,"Sweet wild berries picked from a bush. A tasty snack.",Сладкие лесные ягоды с куста. Вкусный перекус.
item.berry.name,Berries,Ягоды
item.beet.desc,"A hearty beetroot. Filling and earthy.",Сытная свёкла. Питательная и землистая.
item.beet.name,Beet,Свёкла
item.carrot.desc,"A crunchy carrot. A quick, tasty bite.",Хрустящая морковь. Быстрый вкусный перекус.
item.carrot.name,Carrot,Морковь
item.potato.desc,"A starchy potato. Best cooked, but edible raw.",Крахмалистый картофель. Лучше приготовить, но можно и сырым.
item.potato.name,Potato,Картофель
item.cucumber.desc,"A cool, watery cucumber. Refreshing.",Прохладный сочный огурец. Освежает.
item.cucumber.name,Cucumber,Огурец
item.hoe.desc,"A simple hoe. Right-click bare ground to till a farm plot for planting.",Простая мотыга. ПКМ по земле — вскопать грядку для посадки.
item.hoe.name,Hoe,Мотыга
item.cooking_station.desc,"A campfire with six ingredient slots. It cooks simple dishes and multi-stage feasts.",Костёр с шестью слотами для ингредиентов. Готовит простые блюда и многоступенчатые угощения.
item.cooking_station.name,Campfire,Костёр
item.bowl.desc,A simple wooden bowl used in campfire recipes.,Простая деревянная миска для рецептов на костре.
item.bowl.name,Bowl,Миска
item.fruit_salad.desc,"Five portions of fruit and berries served in a bowl. The first step toward advanced dishes.",Пять порций фруктов и ягод в миске. Первый шаг к продвинутым блюдам.
item.fruit_salad.name,Fruit Assortment,Фруктовое ассорти
item.veggie_stew.desc,"A hot garden stew enriched with fruit assortment. Very filling.",Горячее овощное рагу с фруктовым ассорти. Очень сытное.
item.veggie_stew.name,Veggie Stew,Овощное рагу
item.baked_potato.desc,"A hot baked potato. Simple and filling.",Горячий печёный картофель. Просто и сытно.
item.baked_potato.name,Baked Potato,Печёный картофель
