keys,en,ru
"Улучши примитивный бур до бронзового. Он требует 10 EU/с и выдаёт руду со стороны стрелки. Поставь конвейер вплотную к этой стороне: добытый предмет появится на ленте и поедет по её направлению.","Upgrade the primitive drill to a bronze drill. It requires 10 EU/s and outputs ore from the arrow side. Place a conveyor directly against that side: the mined item will appear on the belt and travel in its direction.","Улучши примитивный бур до бронзового. Он требует 10 EU/с и выдаёт руду со стороны стрелки. Поставь конвейер вплотную к этой стороне: добытый предмет появится на ленте и поедет по её направлению."
Подключить конвейер к выходу бура,Connect a conveyor to the drill output,Подключить конвейер к выходу бура
Главы,Chapters,Главы
Жители,Villagers,Жители
Фармилка,Farming,Фармилка
Боссы,Bosses,Боссы
Убейте по 100 мобов каждого вида,Defeat 100 mobs of each species,Убейте по 100 мобов каждого вида
Победите каждого босса один раз,Defeat each boss once,Победите каждого босса один раз
Убей 100 мобов этого вида.,Defeat 100 mobs of this species.,Убей 100 мобов этого вида.
Убить 100 мобов,Defeat 100 mobs,Убить 100 мобов
Победи этого босса один раз.,Defeat this boss once.,Победи этого босса один раз.
Убить босса,Defeat the boss,Убить босса
mob.sand_scarab.name,Sand Scarab,Песчаный скарабей
mob.cactus_stalker.name,Cactus Stalker,Кактусовый охотник
mob.dust_wisp.name,Dust Wisp,Пылевой огонёк
mob.frost_wolf.name,Frost Wolf,Морозный волк
mob.ice_wisp.name,Ice Wisp,Ледяной огонёк
mob.snow_golem.name,Snow Golem,Снежный голем
mob.bark_beetle.name,Bark Beetle,Короед
mob.mire_leech.name,Mire Leech,Болотная пиявка
mob.bog_slime.name,Bog Slime,Топкая слизь
mob.mosquito_swarm.name,Mosquito Swarm,Рой москитов
mob.woodling.name,Woodling,Древесник
mob.jungle_panther.name,Jungle Panther,Пантера джунглей
mob.vine_lurker.name,Vine Lurker,Лиановый ловчий
mob.sporeling.name,Sporeling,Споровик
mob.ember_beetle.name,Ember Beetle,Угольный жук
mob.ash_hound.name,Ash Hound,Пепельная гончая
mob.flare_wisp.name,Flare Wisp,Пламенный огонёк
mob.ice_stalker.name,Ice Stalker,Ледяной охотник
mob.shardling.name,Shardling,Осколочник
mob.frost_golem.name,Frost Golem,Морозный голем
mob.toxic_slime.name,Toxic Slime,Ядовитая слизь
mob.rot_hound.name,Rot Hound,Гончая гнили
mob.bog_witch.name,Bog Witch,Болотная ведьма
mob.forest_wolf.name,Forest Wolf,Лесной волк
mob.razor_raptor.name,Razor Raptor,Бритвенный раптор
mob.ancient_vine.name,Ancient Vine,Древняя лоза
mob.primal_beetle.name,Primal Beetle,Первобытный жук
boss.ent.name,Ent,Энт
boss.dune_colossus.name,Dune Colossus,Песчаный колосс
boss.frost_warden.name,Frost Warden,Ледяной страж
boss.mire_hydra.name,Mire Hydra,Болотная гидра
boss.thorn_matriarch.name,Thorn Matriarch,Шипастая матриархиня
boss.solar_tyrant.name,Solar Tyrant,Солнечный тиран
boss.abyss_leviathan.name,Abyss Leviathan,Левиафан бездны
boss.rot_king.name,Rot King,Король гнили
boss.primal_guardian.name,Primal Guardian,Первобытный страж
I. Исследование электричества,I. Electricity Research,I. Исследование электричества
II. Электросеть,II. Power Grid,II. Электросеть
III. Дробилка и резина,III. Crushing and Rubber,III. Дробилка и резина
V. Исследование автоматизации,V. Automation Research,V. Исследование автоматизации
VI. Снежные руды,VI. Snowland Ores,VI. Снежные руды
I. Тяжёлая промышленность,I. Heavy Industry,I. Тяжёлая промышленность
II. Руды болот,II. Swamp Ores,II. Руды болот
V. Сухая переработка,V. Dry Ore Processing,V. Сухая переработка
VI. Титановые материалы,VI. Titanium Materials,VI. Титановые материалы
VII. Промышленная химия,VII. Industrial Chemistry,VII. Промышленная химия
VIII. Биотехнологии,VIII. Bioengineering,VIII. Биотехнологии
IX. Защита и возобновляемые ресурсы,IX. Protection and Renewables,IX. Защита и возобновляемые ресурсы
X. Солнечная энергия,X. Solar Energy,X. Солнечная энергия
I. Солнечная индустрия,I. Solar Industry,I. Солнечная индустрия
II. Развитая энергетика,II. Advanced Power,II. Развитая энергетика
VII. Титановый бур,VII. Titanium Drill,VII. Титановый бур
VIII. Редкие руды,VIII. Rare Ores,VIII. Редкие руды
IX. Продвинутый бур и мифрил,IX. Advanced Drill and Mythril,IX. Продвинутый бур и мифрил
X. Исследование Бездны,X. Abyss Research,X. Исследование Бездны
XII. Исследование фронтира,XII. Frontier Research,XII. Исследование фронтира
XIII. Технологии фронтира,XIII. Frontier Technology,XIII. Технологии фронтира
XIV. Квантовое исследование,XIV. Quantum Research,XIV. Квантовое исследование
XV. Жидкости и химия,XV. Fluids and Chemistry,XV. Жидкости и химия
XVI. Цифровое хранилище,XVI. Digital Storage,XVI. Цифровое хранилище
XVII. Легенда,XVII. Legend,XVII. Легенда
"Электричество, резина, автоматизация и руды Снежных земель.","Electricity, rubber, automation, and Snowland ores.","Электричество, резина, автоматизация и руды Снежных земель."
"Болотные и джунглевые руды, электроника, сухая переработка и солнечная энергия.","Swamp and jungle ores, electronics, dry processing, and solar power.","Болотные и джунглевые руды, электроника, сухая переработка и солнечная энергия."
"Редкие руды, продвинутые буры, молекулярные технологии, жидкости и ME-сеть.","Rare ores, advanced drills, molecular technology, fluids, and the ME network.","Редкие руды, продвинутые буры, молекулярные технологии, жидкости и ME-сеть."
Электрическая эра,Electric Age,Электрическая эра
"Победи Энта во вкладке боссов, подготовь паровые исследовательские наборы и заверши анализ электричества.","Defeat the Ent in the Bosses tab, prepare steam research packs, and complete the electricity analysis.","Победи Энта во вкладке боссов, подготовь паровые исследовательские наборы и заверши анализ электричества."
Исследовать электричество,Research electricity,Исследовать электричество
"Экстрактор, изоляция и электрические компоненты","Extractor, insulation, and electrical components","Экстрактор, изоляция и электрические компоненты"
Автоматизация,Automation,Автоматизация
"Исследуй образец Песчаного колосса и докажи, что электрическая фабрика готова к массовому производству.",Analyze the Dune Colossus sample and prove that the electric factory is ready for mass production.,"Исследуй образец Песчаного колосса и докажи, что электрическая фабрика готова к массовому производству."
Исследовать автоматизацию,Research automation,Исследовать автоматизацию
"Компрессор, разветвители и новые производственные линии","Compressor, splitters, and new production lines","Компрессор, разветвители и новые производственные линии"
Тяжёлая промышленность,Heavy Industry,Тяжёлая промышленность
Победа над Ледяным стражем и наборы автоматизации открывают тяжёлые машины и доступ к болотным рудам.,Defeating the Frost Warden and producing automation packs unlocks heavy machines and access to swamp ores.,Победа над Ледяным стражем и наборы автоматизации открывают тяжёлые машины и доступ к болотным рудам.
Исследовать тяжёлую промышленность,Research heavy industry,Исследовать тяжёлую промышленность
Продвинутая переработка руды,Advanced ore processing,Продвинутая переработка руды
Никелевая жила,Nickel Vein,Никелевая жила
Добудь никель в Болоте и переработай часть руды в пыль.,Mine nickel in the Swamp and process some of the ore into dust.,Добудь никель в Болоте и переработай часть руды в пыль.
Добыть никелевую руду,Mine nickel ore,Добыть никелевую руду
Никель для побочных и будущих сплавов,Nickel for byproducts and future alloys,Никель для побочных и будущих сплавов
Промышленная химия,Industrial Chemistry,Промышленная химия
Проанализируй железу Болотной гидры и подготовь промышленную фабрику к химическим процессам.,Analyze the Mire Hydra gland and prepare the industrial factory for chemical processes.,Проанализируй железу Болотной гидры и подготовь промышленную фабрику к химическим процессам.
Исследовать промышленную химию,Research industrial chemistry,Исследовать промышленную химию
Химический реактор и нефтепереработка,Chemical reactor and oil refining,Химический реактор и нефтепереработка
Биоинженерия,Bioengineering,Биоинженерия
Исследуй сердце Шипастой матриархини и открой возобновляемое производство.,Analyze the Thorn Matriarch heart and unlock renewable production.,Исследуй сердце Шипастой матриархини и открой возобновляемое производство.
Исследовать биоинженерию,Research bioengineering,Исследовать биоинженерию
"Фермстанция, генератор булыжника и солнечная энергия","Farming station, cobblestone generator, and solar power","Фермстанция, генератор булыжника и солнечная энергия"
Солнечная индустрия,Solar Industry,Солнечная индустрия
"Заверши анализ ядра Солнечного тирана, чтобы перейти к усиленной энергетике.",Complete the Solar Tyrant core analysis to advance to enhanced power systems.,"Заверши анализ ядра Солнечного тирана, чтобы перейти к усиленной энергетике."
Исследовать солнечную индустрию,Research solar industry,Исследовать солнечную индустрию
Продвинутые панели и энергохранилища,Advanced panels and energy storage,Продвинутые панели и энергохранилища
Инженерия Бездны,Abyss Engineering,Инженерия Бездны
Проанализируй чешую Левиафана бездны и подготовь фабрику к молекулярной обработке.,Analyze the Abyss Leviathan scale and prepare the factory for molecular processing.,Проанализируй чешую Левиафана бездны и подготовь фабрику к молекулярной обработке.
Исследовать инженерию Бездны,Research Abyss engineering,Исследовать инженерию Бездны
Молекулярный трансформер и элитная энергетика,Molecular transformer and elite power systems,Молекулярный трансформер и элитная энергетика
Технологии фронтира,Frontier Technology,Технологии фронтира
Изучи корону Короля гнили и открой предельные промышленные технологии.,Study the Rot King crown and unlock frontier industrial technology.,Изучи корону Короля гнили и открой предельные промышленные технологии.
Исследовать технологии фронтира,Research frontier technology,Исследовать технологии фронтира
Абсолютная энергетика и конвейеры T5,Ultimate power and T5 conveyors,Абсолютная энергетика и конвейеры T5
Квантовая логистика,Quantum Logistics,Квантовая логистика
Исследуй ядро Первобытного стража и заверши технологический путь Верхнего мира.,Analyze the Primal Guardian core and complete the Overworld technology path.,Исследуй ядро Первобытного стража и заверши технологический путь Верхнего мира.
Исследовать квантовую логистику,Research quantum logistics,Исследовать квантовую логистику
ME-сеть и квантовая логистика,ME network and quantum logistics,ME-сеть и квантовая логистика
Найди свинец в Снежных землях и переработай часть руды в пыль.,Find lead in the Snowlands and process some of the ore into dust.,Найди свинец в Снежных землях и переработай часть руды в пыль.
Получить свинцовую пыль,Produce lead dust,Получить свинцовую пыль
Свинцовая пыль для будущих компонентов,Lead dust for future components,Свинцовая пыль для будущих компонентов
"Добудь уран титановым буром, извлеки сырьё и подготовь его в электропечи.","Mine uranium with a titanium drill, extract the raw material, and process it in an electric furnace.","Добудь уран титановым буром, извлеки сырьё и подготовь его в электропечи."
Извлечь урановое сырьё,Extract raw uranium,Извлечь урановое сырьё
Обработать уран,Process uranium,Обработать уран
Поставь продвинутый бур на мифриловую жилу и добудь первую партию руды.,Place an advanced drill on a mythril vein and extract the first batch of ore.,Поставь продвинутый бур на мифриловую жилу и добудь первую партию руды.
Каменный век,Stone Age,Каменный век
"Выживание, добыча, плавка и первая металлургия.","Survival, mining, smelting and first metallurgy.","Выживание, добыча, плавка и первая металлургия."
Индустриализация,Industrialization,Индустриализация
Первая металлургия и провода.,First metallurgy and wiring.,Первая металлургия и провода.
Железный век,Iron Age,Железный век
"Сталь, корпуса машин и механика.","Steel, machine casings and mechanics.","Сталь, корпуса машин и механика."
Электрификация,Electrification,Электрификация
Первый ток и простые схемы.,First current and simple circuits.,Первый ток и простые схемы.
Электрический век,Electric Age,Электрический век
Электромашины и солнечная энергия.,Electric machines and solar power.,Электромашины и солнечная энергия.
Промышленный век,Industrial Age,Промышленный век
Продвинутые сплавы и автоматизация.,Advanced alloys and automation.,Продвинутые сплавы и автоматизация.
Глава %d,Chapter %d,Глава %d
I. Первые шаги,I. First Steps,I. Первые шаги
Сруби дерево,Chop a Tree,Сруби дерево
Собери древесину — первый ресурс выживания.,Gather wood — the first survival resource.,Собери древесину — первый ресурс выживания.
Добыть древесину,Gather wood,Добыть древесину
Доски и палки,Planks and sticks,Доски и палки
Собери камни,Gather Stones,Собери камни
Набей камней для первых инструментов.,Collect stones for your first tools.,Набей камней для первых инструментов.
Добыть камень,Mine stone,Добыть камень
Примитивные инструменты,Primitive tools,Примитивные инструменты
Собери палки,Gather Sticks,Собери палки
Подбери сухие ветки с земли для рукоятей первых инструментов.,Pick up dry branches from the ground for the handles of your first tools.,Подбери сухие ветки с земли для рукоятей первых инструментов.
Собрать палки,Collect sticks,Собрать палки
Рецепты: примитивный топор и каменная кирка,Recipes: primitive axe and stone pickaxe,Рецепты: примитивный топор и каменная кирка
Примитивный топор,Primitive Axe,Примитивный топор
Свяжи камень и палку — получи топор.,Bind a stone and a stick — get an axe.,Свяжи камень и палку — получи топор.
Скрафтить топор,Craft an axe,Скрафтить топор
Быстрая добыча дерева,Fast wood gathering,Быстрая добыча дерева
Верстак,Workbench,Верстак
Собери верстак — основу крафта.,Build a workbench — the foundation of crafting.,Собери верстак — основу крафта.
